what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui.HelpView",1277732103704
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1277732105326
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1277732124557
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1277732124799
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1277732125026
activated,view,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui.HelpView",1277732145156
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277732146585
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277732205834
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1277732209374
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277732218232
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1277732233620
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277732236684
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277732245530
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1277732248706
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1277732264610
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277732269041
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1277732271899
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1277732290345
activated,view,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui.HelpView",1277732658402
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1277732658418
closed,view,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui.HelpView",1277732658433
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.update",1277732663774
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277732668666
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277732673213
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277732681481
